id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
32898423,Rental unit in San Francisco · ★4.93 · 1 bedroom · 1 bed · 1 bath,150732464,Salman,,Nob Hill,37.79591,-122.41812,Entire home/apt,85,30,14,9/4/2022,0.29,7,46,1,
32920800,Hotel in San Francisco · ★5.0 · 6 bedrooms · 2 beds · 1 private bath,64646820,Michelle,,Downtown/Civic Center,37.78878,-122.40984,Private room,229,3,13,4/20/2023,0.24,38,28,4,License not needed per OSTR
32921329,Rental unit in San Francisco · ★4.11 · 1 bedroom · 1 bed · 2 shared baths,137211962,Jing,,Inner Sunset,37.76171,-122.47289,Private room,31,30,9,12/18/2022,0.17,5,260,1,
32921792,Hotel in San Francisco · 6 bedrooms · 2 beds · 1 private bath,64646820,Michelle,,Downtown/Civic Center,37.78672,-122.41119,Private room,199,2,2,2/27/2020,0.04,38,0,0,License not needed per OSTR
32941329,Hotel in San Francisco · ★5.0 · Studio · 2 beds · 1 private bath,47514427,Jeffrey & Susan & Bryce,,Downtown/Civic Center,37.78681,-122.41071,Private room,359,2,13,2/2/2023,0.24,27,58,3,License not needed per OSTR
32945280,Townhouse in San Francisco · ★4.83 · 1 bedroom · 1 bed · 1.5 shared baths,172278627,Xinyu,,Outer Richmond,37.77267,-122.50858,Private room,90,1,18,11/7/2019,0.34,6,0,0,STR-0003740
32945668,Townhouse in San Francisco · ★4.75 · 1 bedroom · 1 bed · 1.5 shared baths,172278627,Xinyu,,Outer Richmond,37.7729,-122.50878,Private room,85,1,12,10/23/2019,0.22,6,0,0,STR-0003740
32945670,Condo in San Francisco · ★4.50 · 2 bedrooms · 2 beds · 1 bath,13832870,International,,South of Market,37.77945,-122.40117,Entire home/apt,149,30,4,1/2/2022,0.09,17,364,0,
32962090,Guest suite in San Francisco · ★4.78 · 1 bedroom · 1 bed · 1 bath,4464641,Jon,,Glen Park,37.7373,-122.43884,Entire home/apt,116,1,273,7/28/2023,5.21,3,45,53,STR-0003811
32983188,Townhouse in San Francisco · ★4.81 · 3 bedrooms · 3 beds · 2.5 baths,988375,Jennifer,,Diamond Heights,37.74219,-122.43676,Entire home/apt,549,3,21,7/20/2023,0.39,18,0,1,STR-0003313
32984485,Condo in San Francisco · ★4.77 · 1 bedroom · 1 bed · 1 bath,7610972,Grettel,,South of Market,37.78372,-122.40657,Entire home/apt,160,30,13,4/5/2023,0.24,2,329,4,
33015887,Cottage in San Francisco · ★4.97 · 1 bedroom · 1 bed · 1 bath,46079176,Nick,,Castro/Upper Market,37.76162,-122.42855,Entire home/apt,275,2,70,8/18/2023,1.33,1,241,9,STR-0004571
33017026,Rental unit in San Francisco · ★5.0 · Studio · 1 bed · 1 private bath,110003688,Silvia,,Seacliff,37.78765,-122.48575,Private room,85,31,4,8/4/2023,0.08,1,149,2,
33022608,Condo in San Francisco · ★5.0 · 1 bedroom · 1 bed · 1 bath,248548754,Pradip,,South of Market,37.78765,-122.3886,Entire home/apt,170,30,6,8/13/2023,0.23,1,365,1,
33050224,Guest suite in San Francisco · 1 bedroom · 1 bed · 1 bath,248760206,Audrey,,Excelsior,37.72608,-122.42405,Entire home/apt,101,30,2,3/6/2021,0.04,2,267,0,
33054543,Rental unit in San Francisco · 2 bedrooms · 2 beds · 2 baths,107434423,Blueground,,South of Market,37.784828,-122.389926,Entire home/apt,236,31,1,7/25/2020,0.03,150,265,0,
33069292,Hotel in San Francisco · ★4.77 · 4 bedrooms · 1 bed · 1 private bath,64646820,Michelle,,Downtown/Civic Center,37.77868271,-122.4222794,Private room,145,2,13,12/16/2021,0.25,38,21,0,License not needed per OSTR
33078270,Home in San Francisco · ★4.86 · 1 bedroom · 1 bed · 1 private bath,248954799,Winnie Sau,,Visitacion Valley,37.71336,-122.40852,Private room,58,2,196,8/16/2023,3.9,3,117,54,2022-006102STR
33083892,Rental unit in San Francisco · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,,South of Market,37.77368,-122.40925,Entire home/apt,192,31,1,8/17/2019,0.02,150,285,0,
33091231,Hotel in San Francisco · ★4.94 · 6 bedrooms · 2 beds · 1 private bath,64646820,Michelle,,Downtown/Civic Center,37.78864,-122.40935,Private room,165,3,16,11/9/2022,0.3,38,15,1,License not needed per OSTR
33115200,Rental unit in San Francisco · ★5.0 · 1 bedroom · 2 beds · 1 bath,174219801,Michael,,Haight Ashbury,37.76498,-122.44416,Entire home/apt,120,30,11,7/27/2023,0.23,1,328,4,
33115368,Condo in San Francisco · 2 bedrooms · 2 beds · 1 bath,1747847,Karina,,South of Market,37.77341,-122.3986,Entire home/apt,150,30,0,,,1,0,0,
33137304,Rental unit in San Francisco · ★5.0 · 1 bedroom · 1 bed · 1 bath,2446457,Heather,,Mission,37.75122,-122.42484,Entire home/apt,111,30,22,5/31/2023,0.46,2,149,5,
33179592,Rental unit in San Francisco · 2 bedrooms · 2 beds · 2 baths,107434423,Blueground,,South of Market,37.78399,-122.389842,Entire home/apt,215,31,0,,,150,315,0,
33185972,Serviced apartment in San Francisco · ★4.68 · 2 bedrooms · 3 beds · 1 bath,64646820,Michelle,,Russian Hill,37.80655,-122.42111,Entire home/apt,257,2,19,5/4/2023,0.37,38,4,3,License not needed per OSTR
33194656,Guest suite in San Francisco · 1 bedroom · 1 bed · 1 bath,51670629,Nelson,,Outer Mission,37.71616,-122.44686,Private room,100,30,2,8/16/2019,0.04,1,179,0,
